,timestamp,CONTAINER ID,source,id,CPU (%),MEM USAGE,LIMIT,MEM %,NET IN,NET OUT,BLOCK IN,BLOCK OUT,PIDS
107,00:24:57,7a5d590f0972,docker_redis_1,1,12.90,4.1366323199999995,419.4304,0.99%,119.0,27.7,3.19,0.0,4
108,00:24:58,7a5d590f0972,docker_redis_1,1,12.58,4.1366323199999995,419.4304,0.99%,120.0,28.1,3.19,0.0,4
109,00:25:00,7a5d590f0972,docker_redis_1,1,12.01,4.1366323199999995,419.4304,0.99%,121.0,28.4,3.19,0.0,4
110,00:25:01,7a5d590f0972,docker_redis_1,1,11.13,4.153409536,419.4304,0.99%,123.0,28.8,3.19,0.0,4
111,00:25:02,7a5d590f0972,docker_redis_1,1,11.77,4.15760384,419.4304,0.99%,124.0,29.0,3.19,0.0,4
112,00:25:03,7a5d590f0972,docker_redis_1,1,12.29,4.153409536,419.4304,0.99%,125.0,29.3,3.19,0.0,4
113,00:25:04,7a5d590f0972,docker_redis_1,1,12.07,4.145020928,419.4304,0.99%,127.0,29.7,3.19,0.0,4
114,00:25:05,7a5d590f0972,docker_redis_1,1,13.10,4.1492152319999995,419.4304,0.99%,128.0,30.0,3.19,0.0,4
115,00:25:06,7a5d590f0972,docker_redis_1,1,12.31,4.145020928,419.4304,0.99%,129.0,30.3,3.19,0.0,4
116,00:25:07,7a5d590f0972,docker_redis_1,1,12.19,4.1492152319999995,419.4304,0.99%,131.0,30.6,3.19,0.0,4
117,00:25:08,7a5d590f0972,docker_redis_1,1,13.51,4.1492152319999995,419.4304,0.99%,132.0,30.9,3.19,0.0,4
118,00:25:09,7a5d590f0972,docker_redis_1,1,12.80,4.129292288,419.4304,0.98%,135.0,31.6,3.19,0.0,4
119,00:25:10,7a5d590f0972,docker_redis_1,1,10.01,4.132438016,419.4304,0.99%,136.0,31.9,3.19,0.0,4
120,00:25:11,7a5d590f0972,docker_redis_1,1,11.28,4.132438016,419.4304,0.99%,137.0,32.2,3.19,0.0,4
121,00:25:12,7a5d590f0972,docker_redis_1,1,11.54,4.263510016,419.4304,1.02%,139.0,32.5,3.19,0.0,4
122,00:25:13,7a5d590f0972,docker_redis_1,1,12.39,4.1366323199999995,419.4304,0.99%,140.0,32.8,3.19,0.0,4
123,00:25:14,7a5d590f0972,docker_redis_1,1,12.54,4.1366323199999995,419.4304,0.99%,141.0,33.1,3.19,0.0,4
124,00:25:15,7a5d590f0972,docker_redis_1,1,11.70,4.125097984,419.4304,0.98%,142.0,33.4,3.19,0.0,4
125,00:25:16,7a5d590f0972,docker_redis_1,1,12.27,4.129292288,419.4304,0.98%,144.0,33.7,3.19,0.0,4
126,00:25:17,7a5d590f0972,docker_redis_1,1,12.74,4.129292288,419.4304,0.98%,145.0,34.0,3.19,0.0,4
127,00:25:18,7a5d590f0972,docker_redis_1,1,12.45,4.26770432,419.4304,1.02%,146.0,34.3,3.19,0.0,4
128,00:25:19,7a5d590f0972,docker_redis_1,1,12.85,4.1492152319999995,419.4304,0.99%,148.0,34.6,3.19,0.0,4
